subject,rank,observed_frequency,fitted_frequency,model,fit_input
parserf,61.0,673.0,1192.1782603907598,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,62.0,673.0,1188.7800383656795,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,63.0,673.0,1185.4123258324823,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,64.0,673.0,1182.0746642064005,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,65.0,673.0,1178.7666045376407,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,66.0,673.0,1175.487707252033,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,67.0,673.0,1172.237541900178,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,68.0,673.0,1169.0156869147604,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,69.0,673.0,1165.821729375715,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,70.0,673.0,1162.6552647829528,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,71.0,673.0,1159.5158968363532,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,72.0,673.0,1156.4032372227534,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,73.0,673.0,1153.3169054096734,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,74.0,673.0,1150.2565284455238,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,75.0,673.0,1147.2217407660582,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,76.0,673.0,1144.2121840068417,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,77.0,673.0,1141.227506821511,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,78.0,673.0,1138.2673647056229,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,79.0,673.0,1135.3314198258822,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,80.0,673.0,1132.4193408545584,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,81.0,673.0,1129.5308028089078,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,82.0,673.0,1126.6654868954188,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,83.0,673.0,1123.8230803587144,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,84.0,673.0,1121.0032763349423,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,85.0,673.0,1118.205773709503,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,86.0,673.0,1115.4302769789595,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,87.0,673.0,1112.6764961169831,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,88.0,673.0,1109.944146444204,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,89.0,673.0,1107.2329485018236,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,90.0,673.0,1104.5426279288654,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,91.0,673.0,1101.8729153429424,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,92.0,673.0,1099.2235462244187,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,93.0,673.0,1096.5942608038536,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,94.0,673.0,1093.9848039526198,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,95.0,673.0,1091.3949250765875,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,96.0,673.0,1088.8243780127757,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,97.0,673.0,1086.2729209288723,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,98.0,673.0,1083.740316225529,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,99.0,673.0,1081.226330441342,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,100.0,673.0,1078.730734160429,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,101.0,673.0,1076.2533019225218,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,102.0,673.0,1073.793812135494,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,103.0,673.0,1071.352046990242,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,104.0,673.0,1068.9277923778493,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,105.0,673.0,1066.5208378089621,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,106.0,673.0,1064.1309763353013,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
