subject,run_no,campaign_name,estimator_label,estimate_total
parserb,1,parserb_aflpp_run_01,ztNB (incidence-frequency estimator),19924.886043327002
parserb,1,parserb_aflpp_run_01,Gamma-Poisson (incidence-frequency estimator),19924.886043327002
parserb,1,parserb_aflpp_run_01,Lanumteang-Bohning (incidence-based),20588.350339174136
parserb,1,parserb_aflpp_run_01,Chiu (incidence-based),19447.19557823129
parserb,1,parserb_aflpp_run_01,Beta-Binomial (incidence-based),20285.242623646784
parserb,1,parserb_aflpp_run_01,Zipf-Mandelbrot (coverage-frequency estimator),19446.0
parserb,1,parserb_aflpp_run_01,Poisson (hit-count estimator),19446.0
parserb,1,parserb_aflpp_run_01,Exponential (hit-count estimator),19446.00201872086
parserb,1,parserb_aflpp_run_01,Gamma (hit-count estimator),21091.611494726818
parserb,1,parserb_aflpp_run_01,Negative Binomial (hit-count estimator),21062.248744488694
parserb,2,parserb_aflpp_run_02,Chao2 (incidence-based),19967.32493939157
parserb,2,parserb_aflpp_run_02,Chao2_bc (incidence-based),19965.412883948225
parserb,2,parserb_aflpp_run_02,Jackknife1 (incidence-based),20132.968796433877
parserb,2,parserb_aflpp_run_02,Chao1 (incidence-based),19968.109649122805
parserb,2,parserb_aflpp_run_02,Poisson (incidence-frequency estimator),19440.0
parserb,2,parserb_aflpp_run_02,Exponential (incidence-frequency estimator),1.944e+16
parserb,2,parserb_aflpp_run_02,Gamma (incidence-frequency estimator),1.944e+16
parserb,2,parserb_aflpp_run_02,Negative Binomial (incidence-frequency estimator),19892.411749478808
parserb,2,parserb_aflpp_run_02,ztPoisson (incidence-frequency estimator),19440.0
parserb,2,parserb_aflpp_run_02,ztNB (incidence-frequency estimator),19892.411749478808
parserb,2,parserb_aflpp_run_02,Gamma-Poisson (incidence-frequency estimator),19892.411749478808
parserb,2,parserb_aflpp_run_02,Lanumteang-Bohning (incidence-based),20484.340793181807
parserb,2,parserb_aflpp_run_02,Chiu (incidence-based),19441.137119697978
parserb,2,parserb_aflpp_run_02,Beta-Binomial (incidence-based),20227.988468509848
parserb,2,parserb_aflpp_run_02,Zipf-Mandelbrot (coverage-frequency estimator),19440.0
parserb,2,parserb_aflpp_run_02,Poisson (hit-count estimator),19440.0
parserb,2,parserb_aflpp_run_02,Exponential (hit-count estimator),19440.0019796224
parserb,2,parserb_aflpp_run_02,Gamma (hit-count estimator),21091.005944150285
parserb,2,parserb_aflpp_run_02,Negative Binomial (hit-count estimator),21140.890973270634
parserb,3,parserb_aflpp_run_03,Chao2 (incidence-based),19927.974791207664
parserb,3,parserb_aflpp_run_03,Chao2_bc (incidence-based),19926.27447347366
parserb,3,parserb_aflpp_run_03,Jackknife1 (incidence-based),20131.964338781574
parserb,3,parserb_aflpp_run_03,Chao1 (incidence-based),19928.706896551725
parserb,3,parserb_aflpp_run_03,Poisson (incidence-frequency estimator),19436.0
parserb,3,parserb_aflpp_run_03,Exponential (incidence-frequency estimator),1.9436e+16
parserb,3,parserb_aflpp_run_03,Gamma (incidence-frequency estimator),1.9436e+16
parserb,3,parserb_aflpp_run_03,Negative Binomial (incidence-frequency estimator),19902.227656931325
parserb,3,parserb_aflpp_run_03,ztPoisson (incidence-frequency estimator),19436.0
parserb,3,parserb_aflpp_run_03,ztNB (incidence-frequency estimator),19902.227656931325
parserb,3,parserb_aflpp_run_03,Gamma-Poisson (incidence-frequency estimator),19902.227656931325
parserb,3,parserb_aflpp_run_03,Lanumteang-Bohning (incidence-based),20232.905244167454
parserb,3,parserb_aflpp_run_03,Chiu (incidence-based),19436.97673636586
parserb,3,parserb_aflpp_run_03,Beta-Binomial (incidence-based),20115.77367902941
parserb,3,parserb_aflpp_run_03,Zipf-Mandelbrot (coverage-frequency estimator),19436.0
parserb,3,parserb_aflpp_run_03,Poisson (hit-count estimator),19436.0
parserb,3,parserb_aflpp_run_03,Exponential (hit-count estimator),19436.0019987778
parserb,3,parserb_aflpp_run_03,Gamma (hit-count estimator),21104.26553708733
parserb,3,parserb_aflpp_run_03,Negative Binomial (hit-count estimator),21781.778128824724
parserd,1,parserd_aflpp_run_01,Chao2 (incidence-based),8676.246791841146
parserd,1,parserd_aflpp_run_01,Chao2_bc (incidence-based),8674.385758372386
parserd,1,parserd_aflpp_run_01,Jackknife1 (incidence-based),8704.82763744428
parserd,1,parserd_aflpp_run_01,Chao1 (incidence-based),8676.376623376624
parserd,1,parserd_aflpp_run_01,Poisson (incidence-frequency estimator),8589.0
parserd,1,parserd_aflpp_run_01,Exponential (incidence-frequency estimator),8589000000000000.0
parserd,1,parserd_aflpp_run_01,Gamma (incidence-frequency estimator),8599.09661530951
parserd,1,parserd_aflpp_run_01,Negative Binomial (incidence-frequency estimator),8599.571563301011
parserd,1,parserd_aflpp_run_01,ztPoisson (incidence-frequency estimator),8589.0
parserd,1,parserd_aflpp_run_01,ztNB (incidence-frequency estimator),8599.571563301011
parserd,1,parserd_aflpp_run_01,Gamma-Poisson (incidence-frequency estimator),8599.570967979607
parserd,1,parserd_aflpp_run_01,Lanumteang-Bohning (incidence-based),8719.777560439223
parserd,1,parserd_aflpp_run_01,Chiu (incidence-based),8590.003225532637
parserd,1,parserd_aflpp_run_01,Beta-Binomial (incidence-based),8705.201243269157
parserd,1,parserd_aflpp_run_01,Zipf-Mandelbrot (coverage-frequency estimator),8589.0
parserd,1,parserd_aflpp_run_01,Poisson (hit-count estimator),8589.0
parserd,1,parserd_aflpp_run_01,Exponential (hit-count estimator),8589.000391678715
parserd,1,parserd_aflpp_run_01,Gamma (hit-count estimator),8984.407882515303
parserd,1,parserd_aflpp_run_01,Negative Binomial (hit-count estimator),8935.790769709185
parserd,2,parserd_aflpp_run_02,Chao2 (incidence-based),8469.268701071167
parserd,2,parserd_aflpp_run_02,Chao2_bc (incidence-based),8466.942487544795
parserd,2,parserd_aflpp_run_02,Jackknife1 (incidence-based),8484.82763744428
parserd,2,parserd_aflpp_run_02,Chao1 (incidence-based),8469.41791044776
parserd,2,parserd_aflpp_run_02,Poisson (incidence-frequency estimator),8369.0
parserd,2,parserd_aflpp_run_02,Exponential (incidence-frequency estimator),8369000000000000.0
parserd,2,parserd_aflpp_run_02,Gamma (incidence-frequency estimator),8383.467828243394
parserd,2,parserd_aflpp_run_02,Negative Binomial (incidence-frequency estimator),8383.866096322576
