subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
parsera,Negative Binomial (hit-count),Negative Binomial on nonzero averaged hit counts,9995,,16338213.064032016,,,,,-142340.00626942405,284684.0125388481,284698.4318191018,2.6461927602618904,8.697929820280647e-09,114969886.01452455,16338213.068066789,0.1421086306548371,0.13831337787353176,6.607971162278782e-09,nonzero_averaged_hit_count,Negative Binomial,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),9993.0,3026067797.714677,0.0,Chi-square,20931292.459191527,,,,,,
parserb,Negative Binomial (hit-count),Negative Binomial on nonzero averaged hit counts,19502,,9695014.078043278,,,,,-269554.16551782144,539112.3310356429,539128.0875802496,6.50562332740507,1.4955533200496863e-08,66864884.49417353,9695014.083729068,0.14499410500849474,0.14184373871184075,1.4297605866222922e-08,nonzero_averaged_hit_count,Negative Binomial,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),19502.0,5651346704.464094,0.0,Chi-square,9920803.385615114,,,,,,
parserd,Negative Binomial (hit-count),Negative Binomial on nonzero averaged hit counts,8897,,20554747.56794425,,,,,-134157.4075459683,268318.8150919366,268333.00158113684,2.013739022923276,7.823079573296266e-09,127826898.68238789,20554747.569455545,0.16080142584486873,0.16638120252275868,9.276322405700489e-09,nonzero_averaged_hit_count,Negative Binomial,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),8895.0,4206902845.352329,0.0,Chi-square,17936116.67454641,,,,,,
parsere,Negative Binomial (hit-count),Negative Binomial on nonzero averaged hit counts,12236,,24271785.058515854,,,,,-169040.931820879,338085.863641758,338100.6875902376,5.7838391490005625,5.089644358259479e-09,196477382.23147148,24271785.06334231,0.12353475391252687,0.12216386203583644,5.690698260873551e-09,nonzero_averaged_hit_count,Negative Binomial,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),12234.0,2111168556.2977445,0.0,Chi-square,21467288.501408964,,,,,,
parserf,Negative Binomial (hit-count),Negative Binomial on nonzero averaged hit counts,14186,,13626482.473565487,,,,,-184194.57541308235,368393.1508261647,368408.27028383245,6.72838093395658,8.700702885352813e-09,114933243.11573134,13626482.47692985,0.11855997540423309,0.09755098268237661,7.1569075942840905e-09,nonzero_averaged_hit_count,Negative Binomial,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),14182.0,1350654249.338682,0.0,Chi-square,13630325.765575476,,,,,,
