subject,artifact_key,program_type,has_known_total,target_type,known_total,observed_total,observed_total_hitcount,observed_total_for_estimator,estimate_total,estimated_unseen_vs_observed,signed_error,abs_error,rel_error,coverage_completion,estimator,estimator_input,estimator_label,n_campaigns,F1,F2,F3,t,p0,p_seen,loglik,aic,bic,rmse,lambda,shape,scale,rate,size,prob,mean,J,s,q,method_note,estimator_family
libpcap,libpcap,real_world,False,unknown,,1723,1723,1723,1723.0,0.0,,,,,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,0.0,0.0,0.0,673.0,,,,,,,,,,,,,,,,,,other
libtiff,libtiff,real_world,False,unknown,,6217,6217,6217,6235.258543833581,18.25854383358092,,,,,Chao2,incidence_frequency,Chao2 (incidence-based),3,32.0,28.0,,673.0,,,,,,,,,,,,,,,,,,other
libtiff,libtiff,real_world,False,unknown,,6217,6217,6217,6234.078034533996,17.078034533996288,,,,,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,32.0,28.0,,673.0,,,,,,,,,,,,,,,,,,other
libtiff,libtiff,real_world,False,unknown,,6217,6217,6217,6217.857142857143,0.857142857143117,,,,,Chiu,incidence_frequency,Chiu (incidence-based),3,32.0,28.0,52.0,673.0,,,,,,,,,,,,,,,,,,other
libtiff,libtiff,real_world,False,unknown,,6217,6217,6217,6281.085865712372,64.08586571237174,,,,,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,32.0,28.0,,673.0,0.0102029915021871,0.9897970084978128,-41549.7053659204,83103.4107318408,83116.88081734935,44.48699179470202,,0.7694673709796003,386.13125750092354,0.0025897929281148,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
libtiff,libtiff,real_world,False,unknown,,6217,6217,6217,6248.952451708767,31.952451708766603,,,,,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,32.0,28.0,,673.0,,,,,,,,,,,,,,,,,,other
libtiff,libtiff,real_world,False,unknown,,6217,6217,6217,6275.215743440233,58.21574344023338,,,,,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,32.0,28.0,52.0,673.0,,,,,,,,,,,,,,,,,,other
libxml2,libxml2,real_world,False,unknown,,13055,13055,13055,13095.556359150403,40.55635915040512,,,,,Chao2,incidence_frequency,Chao2 (incidence-based),3,175.0,377.0,,673.0,,,,,,,,,,,,,,,,,,other
libxml2,libxml2,real_world,False,unknown,,13055,13055,13055,13095.217929668152,40.217929668153374,,,,,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,175.0,377.0,,673.0,,,,,,,,,,,,,,,,,,other
libxml2,libxml2,real_world,False,unknown,,13055,13055,13055,13055.232095490715,0.2320954907154373,,,,,Chiu,incidence_frequency,Chiu (incidence-based),3,175.0,377.0,405.0,673.0,,,,,,,,,,,,,,,,,,other
libxml2,libxml2,real_world,False,unknown,,13055,13055,13055,13764.948694695711,709.9486946957131,,,,,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,175.0,377.0,,673.0,0.0515765594512742,0.9484234405487256,-88338.01870586924,176680.03741173848,176694.99126470074,199.7358836236754,,0.4410262281732108,829.6833609157993,0.0012052790824878,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
libxml2,libxml2,real_world,False,unknown,,13055,13055,13055,13229.73997028232,174.7399702823186,,,,,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,175.0,377.0,,673.0,,,,,,,,,,,,,,,,,,other
libxml2,libxml2,real_world,False,unknown,,13055,13055,13055,13085.381302020936,30.381302020936342,,,,,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,175.0,377.0,405.0,673.0,,,,,,,,,,,,,,,,,,other
zlib,zlib,real_world,False,unknown,,632,632,632,632.0,0.0,,,,,Chao2,incidence_frequency,Chao2 (incidence-based),3,0.0,0.0,,673.0,,,,,,,,,,,,,,,,,,other
zlib,zlib,real_world,False,unknown,,632,632,632,632.0,0.0,,,,,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,0.0,0.0,,673.0,,,,,,,,,,,,,,,,,,other
zlib,zlib,real_world,False,unknown,,632,632,632,632.0,0.0,,,,,Chiu,incidence_frequency,Chiu (incidence-based),3,0.0,0.0,0.0,673.0,,,,,,,,,,,,,,,,,,other
zlib,zlib,real_world,False,unknown,,632,632,632,632.0,0.0,,,,,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,0.0,0.0,,673.0,1.9231994749754005e-134,1.0,-3392.0531439152965,6788.106287830593,6797.004066618887,54.8563507113834,,226.85310737723856,2.8854255315192647,0.3465693323485183,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
zlib,zlib,real_world,False,unknown,,632,632,632,632.0,0.0,,,,,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,0.0,0.0,,673.0,,,,,,,,,,,,,,,,,,other
zlib,zlib,real_world,False,unknown,,632,632,632,632.0,0.0,,,,,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,0.0,0.0,0.0,673.0,,,,,,,,,,,,,,,,,,other
