subject,estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
parsera,Gamma (hit-count estimator),1,10822.392170479987,94129.60782952001,94129.60782952001,94129.60782952001,0.8968824589290344,0.8968824589290344,-94129.60782952001,0.0952340117386996
parserb,Gamma (hit-count estimator),1,21162.67486854141,173689.32513145858,173689.32513145858,173689.32513145858,0.891391030789823,0.891391030789823,-173689.32513145858,0.10008621928437994
parserd,Gamma (hit-count estimator),1,9399.670896959602,127055.32910304039,127055.32910304039,127055.32910304039,0.9311152328829313,0.9311152328829313,-127055.32910304039,0.06520098200872082
parsere,Gamma (hit-count estimator),1,13600.112007336884,217909.8879926631,217909.8879926631,217909.8879926631,0.9412547535426682,0.9412547535426682,-217909.8879926631,0.05285300850935165
parserf,Negative Binomial (hit-count estimator),1,16897.74770312967,314403.25229687034,314403.25229687034,314403.25229687034,0.948995784186798,0.948995784186798,-314403.25229687034,0.04281906785672244
