subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
parsera,Gamma (hit-count),Gamma on nonzero averaged hit counts,9995,,16338213.064032016,,,,,-142298.6849897434,284601.3699794868,284615.7896599807,127.71123688077572,8.697929820280647e-09,114969886.01452455,16338213.068066789,0.1421086306548371,0.13831337787353176,6.607971162278782e-09,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),9993.0,0.16813682136816666,1.839378319495174e-247,KS,20931292.459191527,,,,,,
parserb,Gamma (hit-count),Gamma on nonzero averaged hit counts,19502,,9695014.078043278,,,,,-269540.3560802444,539084.7121604888,539100.4687050956,358.1016803072861,1.4955533200496863e-08,66864884.49417353,9695014.083729068,0.14499410500849474,0.14184373871184075,1.4297605866222922e-08,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),19502.0,0.2578912851698807,0.0,KS,9920803.385615114,,,,,,
parserd,Gamma (hit-count),Gamma on nonzero averaged hit counts,8897,,20554747.56794425,,,,,-134143.93512202782,268291.87024405564,268306.0571828961,132.52210755643654,7.823079573296266e-09,127826898.68238789,20554747.569455545,0.16080142584486873,0.16638120252275868,9.276322405700489e-09,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),8895.0,0.19225355399715066,1.684928168924173e-288,KS,17936116.67454641,,,,,,
parsere,Gamma (hit-count),Gamma on nonzero averaged hit counts,12236,,24271785.058515854,,,,,-169030.55420960067,338065.10841920134,338079.9326946119,256.2048070764697,5.089644358259479e-09,196477382.23147148,24271785.06334231,0.12353475391252687,0.12216386203583644,5.690698260873551e-09,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),12234.0,0.26043966252382234,0.0,KS,21467288.501408964,,,,,,
parserf,Gamma (hit-count),Gamma on nonzero averaged hit counts,14186,,13626482.473565487,,,,,-183969.31554714852,367942.63109429704,367957.75111598056,312.07792773876264,8.700702885352813e-09,114933243.11573134,13626482.47692985,0.11855997540423309,0.09755098268237661,7.1569075942840905e-09,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),14182.0,0.2472633913188882,0.0,KS,13630325.765575476,,,,,,
