estimator_label,n,mean_estimate,median_estimate,std_estimate,min_estimate,max_estimate,mean_unseen_vs_observed
Gamma-Poisson (incidence-frequency estimator),7,5051.440692947152,4644.058967288355,4626.198996581571,632.0,13764.948694695713,111.1549786614373
Zipf-Mandelbrot (coverage-frequency estimator),7,4940.285714285715,4643.0,4402.462103349508,632.0,13055.0,0.0
