estimator_label,n,mean_estimate,median_estimate,std_estimate,min_estimate,max_estimate,mean_unseen_vs_observed
Chao2 (incidence-based),7,4988.851823928833,4694.284794452699,4435.575774203694,632.0,13095.556359150405,48.56610964311936
Chao2_bc (incidence-based),7,4987.0279490805715,4690.455697192461,4434.779007635955,632.0,13095.217929668153,46.74223479485733
Chiu (incidence-based),7,4940.980086552746,4644.194444444444,4402.78232091497,632.0,13055.232095490715,0.6943722670322521
Gamma-Poisson (incidence-frequency estimator),7,5051.440692947152,4644.058967288355,4626.198996581571,632.0,13764.948694695713,111.1549786614373
Jackknife1 (incidence-based),7,4995.061345786457,4685.936106983655,4468.745118604157,632.0,13229.739970282319,54.77563150074301
Lanumteang-Bohning (incidence-based),7,5055.856463346055,4694.1233281893,4477.58886745098,632.0,13085.381302020936,115.57074906034008
Zipf-Mandelbrot (coverage-frequency estimator),7,4940.285714285715,4643.0,4402.462103349508,632.0,13055.0,0.0
