subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
libtiff,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,6217,6217.0,300.17612996622165,4.3168122121021633e-131,1.0,6217.0,0.0,-814194.2401240913,1628390.4802481823,1628397.2152909369,53.48796672033101,,,,,,,incidence_frequency,Poisson,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libxml2,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,13055,13055.0,,1.0,1e-12,1.3055e+16,1.3054999999986944e+16,-8657351.536042733,17314705.072085466,17314712.549011946,205.6772891212688,55458.567372901874,1.803147912703961e-05,1.803147912703961e-05,,,,incidence_frequency,Exponential,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libxml2,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,13055,13055.0,,1.0,1e-12,1.3055e+16,1.3054999999986944e+16,-8657351.536042733,17314707.072085466,17314722.02593843,205.6772891212688,485165195.4097903,2.061153622438558e-09,4.248354255291589e-18,2.061153622438558e-09,,,incidence_frequency,Gamma,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libxml2,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,13055,13055.0,,0.0515765594512742,0.9484234405487256,13764.948694695711,709.9486946957131,-88338.01870586924,176680.03741173848,176694.99126470074,199.7358836236754,0.0012052790824878,829.6833609157993,365.9121232427677,0.4410262281732108,,,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libxml2,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,13055,13055.0,,0.0515586700114759,0.948441329988524,13764.68906111247,709.6890611124709,-88338.01877438047,176680.03754876094,176694.9914017232,199.73608951889295,,,365.9305146348025,,0.4410829725209375,0.0012039223984652,incidence_frequency,Negative Binomial,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libxml2,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,13055,13055.0,385.821600919188,2.7530095739903343e-168,1.0,13055.0,0.0,-2374978.3503865004,4749958.700773001,4749966.177699482,211.64792669217584,,,,,,,incidence_frequency,Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
zlib,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,632,632.0,,0.0015277116392231,0.9984722883607768,632.966991039455,0.9669910394550244,-4729.391059286263,9460.782118572526,9465.231007966671,55.677444505907374,0.001528879780523,654.0736640901025,654.0736640901025,,,,incidence_frequency,Exponential,Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
zlib,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,632,632.0,,0.0,1.0,632.0,0.0,-3410.7522526695484,6825.504505339097,6834.402284127391,54.89741103805767,0.2283210338113683,4.379797968268524,655.0713354412547,149.56656452814093,,,incidence_frequency,Gamma,Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
zlib,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,632,632.0,,1.9231994749754005e-134,1.0,632.0,0.0,-3392.0531439152965,6788.106287830593,6797.004066618887,54.8563507113834,0.3465693323485183,2.8854255315192647,654.5677479307653,226.85310737723856,,,incidence_frequency,Gamma-Poisson,Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
zlib,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,632,632.0,,1.9266507111686958e-134,1.0,632.0,0.0,-3392.0531485395504,6788.106297079101,6797.004075867395,54.85637176086999,,,654.5631808751299,,226.85210268692776,0.2573725540248768,incidence_frequency,Negative Binomial,Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
zlib,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,632,632.0,654.5696202531645,5.2969503545031784e-285,1.0,632.0,0.0,-3769.683312970153,7541.366625940306,7545.815515334453,54.43775738606156,,,,,,,incidence_frequency,Poisson,Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
